SSEC,SCI,FTSE100,DAX30,CAC40
2370.33,9957.62,5395.7,5216.71,2850.55
2409.67,10203.4,5441.8,5473.03,2973.9
2427.48,10315.75,5403.38,5645.25,3075.37
2435.61,10323.29,5466.36,5675.7,3095.56
2473.41,10561.99,5436.7,5847.29,3161.47
2468.25,10480.91,5410.35,5865.01,3153.52
2470.02,10441.7,5450.49,5994.47,3229.76
2504.11,10581.75,5384.68,5914.84,3186.94
2508.09,10624.12,5488.65,5967.2,3217.89
2528.29,10699.49,5548.06,5859.43,3166.06
2509.8,10591.66,5525.54,5877.41,3141.1
2503.84,10541.1,5553.24,5913.53,3157.34
2524.92,10625.88,5713.82,5766.48,3084.07
2479.54,10477.55,5702.24,5970.96,3171.34
2481.08,10418.93,5544.22,6055.27,3220.46
2528.71,10645.68,5421.57,6046.75,3174.29
2529.76,10583,5484.1,6016.07,3169.62
2466.96,10313.33,5545.64,6337.84,3368.62
2463.05,10303.16,5527.16,6346.19,3348.63
2416.56,10025.17,5510.82,6141.34,3242.84
2415.13,10033.79,5567.34,5834.51,3068.33
2412.63,10028.2,5460.38,5965.63,3110.59
2395.06,9957.32,5444.82,6133.18,3195.47
2397.55,9966.74,5545.38,5966.16,3123.55
2380.22,9886.25,5519.04,5928.68,3103.6
2383.03,9884.7,5517.44,5961.44,3143.3
2412.39,10012.94,5509.02,5829.54,3075.16
2333.41,9693.38,5423.14,5867.81,3064.84
2386.86,9917.86,5362.94,6057.03,3149.38
2360.66,9808.23,5222.6,5985.02,3108.95
2333.23,9586.08,5206.82,5933.14,3049.13
2325.91,9586.94,5139.78,5913.36,3064.9
2332.73,9606.25,5127.57,5850.17,3010.29
2329.82,9580.52,5164.65,5800.24,2997.01
2315.27,9480.27,5312.76,5606,2894.94
2291.54,9376.28,5337,5537.39,2870.68
2248.59,9190.88,5505.42,5457.77,2822.43
2228.52,9093.03,5489.34,5428.11,2822.25
2180.9,8871.09,5552.29,5492.87,2856.97
2224.84,9081.94,5567.96,5745.33,3012.93
2218.24,9054.08,5568.72,5799.91,3026.76
2215.93,9031.67,5546.91,6088.84,3154.62
2191.15,8884.25,5483.77,6035.88,3129.95
2186.3,8909.35,5529.21,6080.68,3164.95
2204.78,8976.52,5427.86,6106.09,3201.28
2190.11,8876.19,5490.15,6028.82,3179.63
2166.21,8711.55,5366.8,5994.73,3175.98
2170.01,8739.73,5400.85,5874.44,3095.49
2173.56,8781.32,5387.34,5986.71,3172.35
2199.42,8918.82,5364.99,5785.43,3089.59
2169.39,8695.99,5419.6,5774.26,3078.72
2148.45,8600.26,5389.74,5675.14,2976.17
2163.4,8634.42,5456.97,5730.62,2998.73
2225.89,8946.08,5512.7,5701.78,2972.3
2285.74,9281.25,5507.4,5670.71,2974.2
2276.05,9239.21,5566.77,5847.03,3055.39
2275.01,9200.93,5572.28,5791.53,3030.47
2244.58,9030.59,5699.91,5852.18,3071.8
2206.19,8827.47,5668.45,5878.93,3102.09
2298.38,9264.09,5624.26,5889.76,3103.11
2266.38,9115.27,5649.68,5771.27,3071.08
2296.07,9300.22,5612.26,5848.78,3127.56
2319.12,9466.14,5696.7,5898.35,3159.81
2285.04,9274.85,5670.82,6075.52,3222.3
2292.61,9303.65,5662.42,6166.57,3245.4
2268.08,9193.39,5636.64,6111.55,3193.65
2312.56,9382.13,5657.44,6095.99,3144.91
2330.41,9436.99,5693.95,6057.92,3137.36
2331.14,9448.64,5702.37,6017.23,3127.69
2291.9,9266.71,5741.15,6162.98,3210.79
2347.53,9557.58,5728.55,6152.34,3204.83
2349.59,9560.73,5782.56,6179.21,3199.98
2351.98,9590.95,5751.9,6143.08,3196.49
2351.85,9585.08,5723,6220.01,3225
2344.77,9543.78,5795.2,6332.93,3269.99
2366.7,9673.44,5733.45,6354.57,3264.93
2356.86,9622.83,5671.09,6416.26,3328.94
2357.18,9615.34,5681.61,6404.39,3321.5
2363.6,9616.65,5790.72,6436.62,3338.42
2381.43,9695.87,5796.07,6419.22,3322.65
2403.59,9862.54,5901.07,6421.85,3312.48
2409.55,9918.94,5892.2,6539.85,3363.23
2439.63,10124.15,5890.26,6511.98,3318.76
2447.06,10177.33,5875.93,6444.45,3265.64
2451.86,10161.86,5895.47,6458.91,3298.55
2428.49,10054.84,5852.39,6616.64,3367.46
2426.11,10060.96,5905.7,6655.63,3376.66
2460.69,10299.93,5899.87,6766.67,3427.92
2445,10226.44,5892.16,6764.83,3405.27
2410.45,10093.81,5885.38,6754.2,3411.54
2394.79,10054.87,5905.07,6748.76,3410
2420.28,10171.13,5945.25,6788.8,3424.71
2439.46,10334.38,5928.2,6692.96,3373.14
2434.86,10300.5,5916.55,6738.47,3384.55
2455.79,10427.24,5937.89,6728.19,3375.64
2391.23,10094.89,5935.13,6757.94,3390.35
2373.77,10086.56,5915.55,6751.96,3393.25
2404.74,10279.3,5927.91,6848.03,3439.62
2410.18,10296.17,5871.51,6948.25,3472.54
2376.84,10116.39,5931.25,6908.18,3465.24
2378.2,10090.44,5911.13,6843.87,3447.37
2375.77,10038.95,5874.82,6809.46,3447.31
2349.54,9885.25,5765.8,6864.43,3467.03
2350.6,9946.14,5791.41,6849.6,3441.45
2347.18,9841.38,5859.73,6887.63,3453.99
2284.88,9531.15,5887.49,6856.08,3452.45
2252.16,9418.22,5892.75,6941.77,3499.73
2262.79,9410.26,5955.91,6921.37,3501.17
2302.24,9709.03,5945.43,6866.46,3487.54
2306.55,9786.19,5940.72,6633.11,3362.56
2285.78,9710.91,5965.58,6671.11,3392.33
2305.86,9795.97,5961.11,6834.54,3478.36
2308.93,9802.32,5891.41,6880.21,3487.48
2350.86,10007.65,5891.95,6901.35,3490.06
2359.16,10043.71,5845.65,6995.91,3550.16
2357.03,10000.31,5854.89,7079.42,3564.51
2334.99,9839.92,5902.7,7144.45,3580.21
2380.85,10069.53,5869.55,7157.82,3594.83
2378.63,10015.41,5808.99,7154.22,3577.88
2406.86,10131.04,5742.03,7054.94,3530.83
2388.59,10076.05,5768.45,7071.32,3527.37
2388.83,10041.89,5874.89,6981.26,3472.46
2406.81,10162.01,5838.34,6995.62,3476.18
2404.7,10201.65,5703.77,7079.23,3501.98
2396.32,10180.39,5723.67,7078.9,3469.59
2438.44,10424.94,5595.55,6998.8,3430.15
2440.08,10468.38,5634.74,6875.15,3381.12
2452.01,10573.6,5710.46,6946.83,3423.81
2451.95,10612.89,5651.79,7056.65,3462.91
2448.88,10524.68,5666.28,6982.28,3406.78
2408.59,10294.58,5766.95,6784.06,3313.47
2410.23,10277.62,5745.29,6775.26,3319.81
2394.98,10211.41,5744.55,6606.43,3217.6
2380.73,10093.38,5772.15,6674.73,3237.69
2374.84,10131.81,5665.57,6743.24,3269.79
2346.19,9916.47,5709.49,6583.9,3189.09
2378.89,10079.48,5718.89,6625.19,3205.28
2344.52,9903.09,5748.72,6801,3292.51
2348.3,9977.56,5777.11,6732.03,3240.29
2373.31,10180.27,5737.78,6671.22,3174.02
2363.44,10143.2,5812.23,6750.12,3188.58
2350.97,9984.58,5758.11,6523,3098.37
2333.55,9884.96,5766.55,6590.41,3169.32
2361.37,10104.1,5655.06,6704.5,3233.46
2389.64,10214.74,5554.55,6739.9,3229.32
2384.67,10162.34,5530.05,6801.32,3266.27
2372.23,10141.41,5543.95,6761.19,3212.8
2373.44,10145.8,5575.52,6710.77,3226.33
2308.55,9874.52,5465.52,6694.44,3223.36
2311.92,9847.12,5437.62,6561.47,3161.97
2309.55,9812.98,5405.25,6569.48,3214.22
2293.13,9755.64,5338.38,6444.74,3124.8
2281.45,9707.18,5267.62,6475.31,3118.65
2305.86,9849.77,5304.48,6518,3130.17
2289.79,9790.2,5403.28,6579.93,3129.77
2318.92,9950.05,5266.41,6451.97,3057.99
2295.95,9885.29,5350.05,6401.06,3039.27
2306.85,9885.64,5351.53,6384.26,3048.67
2316.05,9979.06,5356.34,6308.96,3011.99
2300.79,9848.16,5391.14,6271.22,3008
2292.88,9821.79,5297.28,6331.04,3027.15
2260.88,9682.69,5320.86,6435.6,3084.09
2224.11,9414.21,5260.19,6285.75,3003.27
2222.07,9446.59,5384.11,6315.89,3038.25
2216.93,9416.5,5447.79,6339.94,3047.94
2195.84,9383.27,5435.08,6323.19,3042.97
2225.43,9500.32,5432.37,6396.84,3084.7
2226.11,9566.45,5473.74,6280.8,3015.58
2229.19,9607.33,5483.81,6264.38,3017.01
2227.31,9569.16,5467.05,6050.29,2950.47
2201.35,9412.64,5478.81,5978.23,2954.49
2223.58,9690.16,5491.09,5969.4,2986.1
2170.81,9496.68,5586.31,6093.99,3058.44
2164.44,9476.72,5622.29,6144.22,3071.16
2175.38,9588.29,5566.36,6130.82,3051.69
2185.49,9753.49,5513.69,6141.05,3042.76
2185.9,9792.49,5450.65,6161.24,3046.91
2147.96,9540.89,5446.96,6152.49,3030.04
2161.19,9560.03,5523.92,6138.61,3032.45
2169.1,9514.17,5493.06,6229.41,3087.62
2184.84,9509.49,5571.15,6248.2,3066.19
2168.64,9333.21,5640.64,6363.36,3117.92
2141.4,9186.02,5687.73,6392.13,3126.52
2146.59,9262.77,5684.47,6343.13,3114.22
2136.15,9155.34,5692.63,6263.25,3090.9
2126,9081.9,5662.63,6132.39,3021.64
2128.76,9087.13,5627.33,6136.69,3012.71
2109.91,9071.06,5664.07,6228.99,3063.12
2103.63,9059.22,5664.48,6149.91,3051.68
2123.36,9165.97,5608.25,6416.28,3196.65
2111.18,8995.62,5666.13,6496.08,3240.2
2132.8,9076.62,5662.43,6578.21,3271.2
2154.92,9212.21,5629.09,6564.8,3267.75
2157.62,9229.27,5685.77,6535.56,3229.36
2160.99,9210.67,5714.19,6410.11,3168.79
2174.1,9337.54,5651.77,6387.57,3156.8
2168.81,9238.2,5533.87,6438.33,3175.41
2136.08,9039.22,5499.23,6453.85,3157.25
2142.52,9089.62,5498.32,6419.35,3135.18
2118.95,9048.61,5573.16,6557.1,3180.81
2112.2,8973.38,5627.21,6565.72,3179.9
2114.89,8883.61,5693.63,6577.64,3176.97
2106.96,8838.63,5635.28,6684.42,3235.4
2118.27,8849.49,5712.82,6758.39,3263.64
2107.71,8726.02,5662.3,6630.02,3193.89
2113.07,8730.55,5787.28,6419.33,3101.53
2092.1,8579.28,5808.77,6390.41,3074.68
2055.71,8402.15,5841.24,6406.52,3081.74
2073.15,8400.36,5845.92,6582.96,3207.12
2053.24,8270.91,5851.51,6689.4,3280.19
2052.58,8220.08,5847.11,6774.06,3320.71
2047.52,8210.99,5831.88,6772.26,3291.66
